var_name,type,var_label,has_value_labels,n_unique,missing_share,example_values
hh1,numeric,Cluster number,FALSE,1111,0,"1, 1, 1, 1, 1"
hh2,numeric,Household number,FALSE,58,0,"2, 2, 2, 2, 2"
ln,numeric,Line number,FALSE,16,0,"2, 2, 2, 2, 2"
bhln,numeric,Birth History line number,FALSE,15,0,"1, 2, 3, 4, 5"
wm1,numeric,Cluster number,FALSE,1111,0,"1, 1, 1, 1, 1"
wm2,numeric,Household number,FALSE,58,0,"2, 2, 2, 2, 2"
wm3,numeric,Woman's line number,FALSE,16,0,"2, 2, 2, 2, 2"
wmint,numeric,Interviewer number,FALSE,116,0,"14, 14, 14, 14, 14"
bh0,numeric,Line Number,FALSE,15,0,"1, 2, 3, 4, 5"
bh2,haven_labelled,Twins,TRUE,3,0,"1, 1, 1, 1, 1"
bh3,haven_labelled,Sex of child,TRUE,2,0,"2, 2, 1, 1, 2"
bh4d,haven_labelled,Day of birth,TRUE,32,0,"5, 5, 10, 3, 4"
bh4m,haven_labelled,Month of birth,TRUE,13,0,"9, 4, 3, 12, 2"
bh4y,haven_labelled,Year of birth,TRUE,42,0,"1991, 1994, 1997, 2000, 2005"
bh5,haven_labelled,Still alive,TRUE,2,0,"1, 1, 1, 1, 1"
bh6,haven_labelled,Age of child,TRUE,41,0.08978027992806317,"28, 25, 22, 19, 14"
bh7,haven_labelled,Living with respondent,TRUE,2,0.08978027992806317,"2, 2, 2, 2, 1"
bh8,haven_labelled,Line number of child in HH,TRUE,18,0.08978027992806317,"0, 0, 0, 0, 4"
bh9u,haven_labelled,Age at death (units),TRUE,4,0.9102197200719369,"2, 2, 3, 3, 2"
bh9n,haven_labelled,Age at death (number),TRUE,33,0.9102197200719369,"9, 23, 19, 2, 14"
bh10,haven_labelled,Any other between births,TRUE,2,0,"2, 2, 2, 2, 2"
bh4c,numeric,Date of birth of child (CMC),FALSE,455,0,"1101, 1132, 1167, 1212, 1262"
bh4f,haven_labelled,Date flag for BH4C,TRUE,5,0,"1, 1, 1, 1, 1"
bh9c,numeric,Age at death months (imputed),FALSE,53,0.9102197200719369,"9, 23, 228, 24, 14"
bh9f,haven_labelled,Date flag for BH9C,TRUE,2,0.9102197200719369,"0, 0, 0, 0, 0"
hh4,numeric,Supervisor number,FALSE,28,0,"10, 10, 10, 10, 10"
hh6,haven_labelled,Area,TRUE,2,0,"2, 2, 2, 2, 2"
hh7,haven_labelled,Region,TRUE,3,0,"1, 1, 1, 1, 1"
wdoi,numeric,Date of interview women (CMC),FALSE,7,0,"1442, 1442, 1442, 1442, 1442"
wdob,numeric,Date of birth of woman (CMC),FALSE,422,0,"852, 852, 852, 852, 852"
ethnicity,haven_labelled,Ethnicity of household head,TRUE,9,0,"96, 96, 96, 96, 96"
welevel,haven_labelled,Education,TRUE,6,0,"1, 1, 1, 1, 1"
insurance,haven_labelled,Health insurance,TRUE,3,0,"2, 2, 2, 2, 2"
disability,haven_labelled,Functional difficulties (age 18-49 years),TRUE,2,0.003987802017358668,"1, 1, 1, 1, 1"
brthord,haven_labelled,Birth order,TRUE,4,0,"1, 2, 2, 3, 3"
magebrt,haven_labelled,Mother's age at birth,TRUE,3,0,"2, 2, 2, 2, 2"
birthint,haven_labelled,Previous birth interval,TRUE,5,0,"0, 2, 2, 3, 4"
wmweight,numeric,Woman's sample weight,FALSE,1108,0,"0.464770777346366, 0.464770777346366, 0.464770777346366, 0.464770777346366, 0.464770777346366"
wscore,numeric,Combined wealth score,FALSE,17513,0,"-0.587900697814062, -0.587900697814062, -0.587900697814062, -0.587900697814062, -0.587900697814062"
windex5,haven_labelled,Wealth index quintile,TRUE,5,0,"2, 2, 2, 2, 2"
windex10,numeric,Wealth index deciles,FALSE,10,0,"4, 4, 4, 4, 4"
wscoreu,numeric,Urban wealth score,FALSE,2572,0.8743451403549926,"-0.940258087131481, -0.940258087131481, -0.940258087131481, 0.466021142012957, 0.466021142012957"
windex5u,haven_labelled,Urban wealth index quintile,TRUE,5,0.8743451403549926,"1, 1, 1, 4, 4"
windex10u,numeric,Urban wealth index deciles,FALSE,10,0.8743451403549926,"2, 2, 2, 7, 7"
wscorer,numeric,Rural wealth score,FALSE,14941,0.12565485964500742,"-0.514063491213156, -0.514063491213156, -0.514063491213156, -0.514063491213156, -0.514063491213156"
windex5r,haven_labelled,Rural wealth index quintile,TRUE,5,0.12565485964500742,"2, 2, 2, 2, 2"
windex10r,numeric,Rural wealth index deciles,FALSE,10,0.12565485964500742,"4, 4, 4, 4, 4"
psu,numeric,Primary sampling unit,FALSE,1111,0,"1, 1, 1, 1, 1"
stratum,haven_labelled,Sample stratum,TRUE,56,0,"1012, 1012, 1012, 1012, 1012"
