var_name,type,var_label,has_value_labels,n_unique,missing_share,example_values
hh1,numeric,Cluster number,FALSE,1111,0,"1, 1, 1, 1, 1"
hh2,numeric,Household number,FALSE,54,0,"1, 2, 3, 4, 8"
ln,numeric,Line number,FALSE,17,0,"4, 7, 3, 9, 6"
uf1,numeric,Cluster number,FALSE,1111,0,"1, 1, 1, 1, 1"
uf2,numeric,Household number,FALSE,54,0,"1, 2, 3, 4, 8"
uf3,numeric,Child's line number,FALSE,17,0,"4, 7, 3, 9, 6"
ufint,numeric,Interviewer number,FALSE,141,0,"12, 14, 13, 11, 14"
uf4,numeric,Mother / Caretaker's line number,FALSE,16,0,"2, 2, 1, 2, 2"
uf5,numeric,Interviewer number,FALSE,141,0,"12, 14, 13, 11, 14"
uf6,numeric,Supervisor number,FALSE,28,0,"10, 10, 10, 10, 10"
uf7d,numeric,Day of interview,FALSE,31,0,"11, 11, 8, 8, 8"
uf7m,numeric,Month of interview,FALSE,8,0,"2, 2, 2, 2, 2"
uf7y,numeric,Year of interview,FALSE,2,0,"2020, 2020, 2020, 2020, 2020"
uf9,haven_labelled,Respondent to another questionnaire,TRUE,2,0,"2, 1, 1, 1, 1"
uf10,haven_labelled,Consent,TRUE,2,0,"2, 1, 1, 1, 1"
uf17,haven_labelled,Result of interview for children under 5,TRUE,6,0,"2, 1, 1, 1, 1"
uf8h,numeric,Start of interview - Hour,FALSE,23,0,"14, 16, 13, 15, 16"
uf8m,numeric,Start of interview - Minutes,FALSE,60,0,"56, 19, 26, 16, 42"
uf11h,numeric,End of interview - Hour,FALSE,23,0.007193782516539277,"16, 13, 15, 16, 16"
uf11m,numeric,End of interview - Minutes,FALSE,60,0.007193782516539277,"33, 34, 23, 51, 55"
uf12,haven_labelled,Language of the questionnaire,TRUE,4,0.007193782516539277,"3, 3, 3, 2, 2"
uf13,haven_labelled,Language of the interview,TRUE,5,0.007193782516539277,"3, 3, 6, 2, 2"
uf14,haven_labelled,Native language of the respondent,TRUE,6,0.007193782516539277,"3, 3, 6, 6, 6"
uf15,haven_labelled,Translator used,TRUE,4,0.007193782516539277,"3, 3, 3, 3, 3"
ufhint,numeric,Household interviewer,FALSE,141,0,"12, 14, 13, 11, 14"
chfin,haven_labelled,Finish,TRUE,1,0.007386473119660865,"3, 3, 3, 3, 3"
ub1d,haven_labelled,Day of birth of child,TRUE,32,0.007193782516539277,"24, 6, 20, 11, 11"
ub1m,haven_labelled,Month of birth of child,TRUE,12,0.007193782516539277,"2, 8, 7, 3, 3"
ub1y,numeric,Year of birth of child,FALSE,6,0.007193782516539277,"2017, 2019, 2015, 2016, 2016"
ub2,numeric,Age of child,FALSE,5,0.007193782516539277,"2, 0, 4, 3, 3"
ub6,haven_labelled,Ever attended early childhood education programme,TRUE,3,0.6180229944119725,"1, 1, 1, 1, 1"
ub7,haven_labelled,Attended early childhood education programme anytime since the beginning of current school year,TRUE,2,0.8362129873466504,"1, 1, 1, 1, 1"
ub8,haven_labelled,Currently attending early childhood education programme,TRUE,2,0.8518851564005395,"1, 1, 1, 1, 1"
ub9,haven_labelled,Covered by any health insurance,TRUE,3,0.007193782516539277,"2, 2, 2, 2, 2"
ub10a,haven_labelled,Type of health insurance - Mutual-health organization / Community-based health insurance,TRUE,2,0,", , , , "
ub10b,haven_labelled,Type of health insurance - Health insurance through employer,TRUE,2,0,", , , , "
ub10c,haven_labelled,Type of health insurance - Social security,TRUE,1,0,", , , , "
ub10d,haven_labelled,Type of health insurance - Other privately purchased commercial health insurance,TRUE,2,0,", , , , "
ub10x,haven_labelled,Type of health insurance - Other,TRUE,2,0,", , , , "
ub10nr,haven_labelled,Type of health insurance - No response,TRUE,1,0,", , , , "
br1,haven_labelled,Birth certificate,TRUE,5,0.007193782516539277,"3, 3, 3, 3, 3"
br2,haven_labelled,Birth registered,TRUE,4,0.22801721369387887,"1, 1, 2, 1, 1"
br3,haven_labelled,Know how to register birth,TRUE,3,0.6807759008285696,"2, 1, 1, 1, 2"
ec1,haven_labelled,Number of children's books or picture books for child,TRUE,11,0.007193782516539277,"0, 0, 0, 0, 0"
ec2a,haven_labelled,Homemade toys,TRUE,4,0.007193782516539277,"2, 2, 2, 2, 2"
ec2b,haven_labelled,Toys from shops,TRUE,3,0.007193782516539277,"2, 2, 2, 2, 2"
ec2c,haven_labelled,Household objects or outside objects,TRUE,3,0.007193782516539277,"1, 2, 1, 1, 1"
ec3a,haven_labelled,Days left alone for more than one hour,TRUE,10,0.007193782516539277,"0, 0, 0, 0, 0"
ec3b,haven_labelled,"Days left in the care of another child, that is someone less than 10 years old, for more than one hour",TRUE,10,0.007193782516539277,"0, 0, 2, 8, 8"
ec5aa,haven_labelled,Read books - Mother,TRUE,3,0,", , , A, "
ec5ab,haven_labelled,Read books - Father,TRUE,3,0,", , , , "
ec5ax,haven_labelled,Read books - Other,TRUE,3,0,", , , , "
ec5ay,haven_labelled,Read books - No one,TRUE,3,0,", Y, , , Y"
ec5anr,haven_labelled,Read books - No response,TRUE,2,0,", , , , "
ec5ba,haven_labelled,Tell stories - Mother,TRUE,3,0,", , , , "
ec5bb,haven_labelled,Tell stories - Father,TRUE,3,0,", , , , "
ec5bx,haven_labelled,Tell stories - Other,TRUE,3,0,", , , X, "
ec5by,haven_labelled,Tell stories - No one,TRUE,3,0,", Y, , , Y"
ec5bnr,haven_labelled,Tell stories - No response,TRUE,2,0,", , , , "
ec5ca,haven_labelled,Sang songs - Mother,TRUE,3,0,", A, , , A"
ec5cb,haven_labelled,Sang songs - Father,TRUE,3,0,", , , , "
ec5cx,haven_labelled,Sang songs - Other,TRUE,3,0,", , , X, X"
ec5cy,haven_labelled,Sang songs - No one,TRUE,3,0,", , , , "
ec5cnr,haven_labelled,Sang songs - No response,TRUE,2,0,", , , , "
ec5da,haven_labelled,Took outside - Mother,TRUE,3,0,", , , , A"
ec5db,haven_labelled,Took outside - Father,TRUE,3,0,", , , , "
ec5dx,haven_labelled,Took outside - Other,TRUE,3,0,", , , , X"
ec5dy,haven_labelled,Took outside - No one,TRUE,3,0,", Y, , Y, "
ec5dnr,haven_labelled,Took outside - No response,TRUE,2,0,", , , , "
ec5ea,haven_labelled,Played with - Mother,TRUE,3,0,", , , , "
ec5eb,haven_labelled,Played with - Father,TRUE,3,0,", , , , "
ec5ex,haven_labelled,Played with - Other,TRUE,3,0,", , , , X"
ec5ey,haven_labelled,Played with - No one,TRUE,3,0,", Y, , Y, "
ec5enr,haven_labelled,Played with - No response,TRUE,2,0,", , , , "
ec5fa,haven_labelled,Named/counted - Mother,TRUE,3,0,", , , A, "
ec5fb,haven_labelled,Named/counted - Father,TRUE,3,0,", , , B, "
ec5fx,haven_labelled,Named/counted - Other,TRUE,3,0,", , , , "
ec5fy,haven_labelled,Named/counted - No one,TRUE,3,0,", Y, , , Y"
ec5fnr,haven_labelled,Named/counted - No response,TRUE,2,0,", , , , "
ec6,haven_labelled,Child identifies at least ten letters of the alphabet,TRUE,4,0.6180229944119725,"1, 2, 2, 2, 2"
ec7,haven_labelled,"Child reads at least four simple, popular words",TRUE,4,0.6180229944119725,"2, 2, 2, 2, 2"
ec8,haven_labelled,Child knows name and recognizes symbol of all numbers from 1-10,TRUE,4,0.6180229944119725,"1, 2, 2, 1, 2"
ec9,haven_labelled,Child able to pick up small object with 2 fingers,TRUE,4,0.6180229944119725,"1, 1, 1, 1, 1"
ec10,haven_labelled,Child sometimes too sick to play,TRUE,4,0.6180229944119725,"1, 1, 1, 2, 1"
ec11,haven_labelled,Child follows simple directions,TRUE,3,0.6180229944119725,"1, 2, 2, 2, 1"
ec12,haven_labelled,Child able to do something independently,TRUE,4,0.6180229944119725,"2, 2, 2, 1, 1"
ec13,haven_labelled,Child gets along well with other children,TRUE,3,0.6180229944119725,"1, 1, 1, 1, 1"
ec14,haven_labelled,"Child kicks, bites or hits other children or adults",TRUE,3,0.6180229944119725,"2, 1, 1, 1, 1"
ec15,haven_labelled,Child gets distracted easily,TRUE,4,0.6180229944119725,"2, 1, 1, 2, 1"
ucd2a,haven_labelled,Took away privileges,TRUE,2,0.20650009634530156,"2, 1, 2, 2, 1"
ucd2b,haven_labelled,Explained why behaviour was wrong,TRUE,2,0.20650009634530156,"2, 2, 2, 2, 2"
