var_name,type,var_label,has_value_labels,n_unique,missing_share,example_values
hh1,numeric,Cluster number,FALSE,1111,0,"1, 1, 1, 1, 1"
hh2,numeric,Household number,FALSE,60,0,"1, 2, 3, 4, 5"
hh3,numeric,Interviewer number,FALSE,143,0,"12, 14, 13, 11, 11"
hh4,numeric,Supervisor number,FALSE,28,0,"10, 10, 10, 10, 10"
hh5d,numeric,Day of interview,FALSE,31,0,"8, 8, 8, 8, 8"
hh5m,numeric,Month of interview,FALSE,7,0,"2, 2, 2, 2, 2"
hh5y,numeric,Year of interview,FALSE,2,0,"2020, 2020, 2020, 2020, 2020"
hh6,haven_labelled,Area,TRUE,2,0,"2, 2, 2, 2, 2"
hh7,haven_labelled,Region,TRUE,3,0,"1, 1, 1, 1, 1"
hh8,haven_labelled,HH selected for Questionnaire for Men,TRUE,2,0,"1, 2, 2, 1, 2"
hh9,haven_labelled,HH selected for Water Quality Testing,TRUE,2,0,"2, 2, 2, 1, 2"
hh10,haven_labelled,HH selected for Blank Testing,TRUE,2,0,"2, 2, 2, 2, 2"
hh11h,numeric,Start of interview - Hour,FALSE,23,0,"12, 12, 12, 12, 16"
hh11m,numeric,Start of interview - Minutes,FALSE,60,0,"9, 11, 28, 24, 28"
hh12,haven_labelled,Consent,TRUE,2,0,"1, 1, 1, 1, 2"
hh46,haven_labelled,Result of HH interview,TRUE,8,0,"1, 1, 1, 1, 3"
hh13h,numeric,End of interview - Hour,FALSE,24,0.054423034000446395,"12, 13, 12, 13, 16"
hh13m,numeric,End of interview - Minutes,FALSE,60,0.054423034000446395,"38, 3, 45, 20, 55"
hh14,haven_labelled,Language of the Questionnaire,TRUE,4,0.054423034000446395,"3, 2, 3, 3, 3"
hh15,haven_labelled,Language of the Interview,TRUE,4,0.054423034000446395,"3, 2, 3, 3, 3"
hh16,haven_labelled,Native language of the Respondent,TRUE,4,0.054423034000446395,"3, 3, 3, 3, 3"
hh17,haven_labelled,Translator used,TRUE,3,0.054423034000446395,"3, 3, 3, 3, 3"
hh26a,numeric,Rank number of the selected child,FALSE,8,0.3312997544825534,"1, 1, 1, 2, 1"
hh26b,haven_labelled,Child line number,TRUE,15,0.3312997544825534,"3, 4, 2, 5, 5"
hh26c,numeric,Child's age,FALSE,13,0.3312997544825534,"15, 14, 5, 16, 6"
hh33x_01,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,1,0.9987724127669072,"1, 1, 1, 1, 1"
hh33x_02,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,2,0.9750762592069042,"1, 1, 1, 1, 1"
hh33x_03,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,2,0.949408526151328,"1, 1, 1, 1, 1"
hh33x_04,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,2,0.9677107358083475,"1, 1, 1, 1, 1"
hh33x_05,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,2,0.9844505617141581,"1, 1, 1, 1, 1"
hh33x_06,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,2,0.9940480619001563,"1, 1, 1, 1, 1"
hh33x_07,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,2,0.9972472286288223,"1, 1, 1, 1, 1"
hh33x_08,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,1,0.998474815861915,"1, 1, 1, 1, 1"
hh33x_09,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,1,0.9990328100587754,"1, 1, 1, 1, 1"
hh33x_10,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,1,0.9995908042556357,"1, 1, 1, 1, 1"
hh33x_11,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,1,0.999851201547504,"1, 1, 1, 1"
hh33x_12,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,1,0.999962800386876,1
hh33x_13,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,1,0.999962800386876,1
hh33x_14,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_15,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_16,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_17,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_18,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_19,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_20,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_21,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_22,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_23,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_24,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_25,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_26,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_27,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_28,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_29,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_30,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_31,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_32,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_33,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_34,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_35,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_36,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_37,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_38,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_39,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_40,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_41,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_42,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_43,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_44,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_45,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_46,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_47,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_48,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_49,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33x_50,haven_labelled,Roster to check the consent for interview girls 15-17,TRUE,0,1,
hh33,haven_labelled,Consent for interview girls 15-17,TRUE,3,0.8725169258239714,"1, 1, 1, 1, 1"
hh39x_01,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,1,0.999851201547504,"1, 1, 1, 1"
hh39x_02,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,2,0.9924484785358232,"1, 1, 1, 1, 1"
hh39x_03,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,2,0.9808421992411279,"1, 1, 2, 1, 1"
hh39x_04,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,2,0.9876869280559483,"1, 1, 1, 1, 1"
hh39x_05,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,2,0.9938620638345361,"1, 1, 1, 1, 1"
hh39x_06,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,1,0.9975448255338144,"1, 1, 1, 1, 1"
hh39x_07,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,1,0.9988840116062793,"1, 1, 1, 1, 1"
hh39x_08,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,1,0.9994792054162637,"1, 1, 1, 1, 1"
hh39x_09,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,1,0.9998884011606279,"1, 1, 1"
hh39x_10,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,1,0.999851201547504,"1, 1, 1, 1"
hh39x_11,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,1,0.999962800386876,1
hh39x_12,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,1,0.999962800386876,1
hh39x_13,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_14,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_15,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_16,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_17,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_18,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_19,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_20,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_21,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_22,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_23,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_24,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_25,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_26,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_27,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_28,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_29,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_30,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_31,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_32,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_33,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_34,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_35,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_36,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_37,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_38,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_39,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_40,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_41,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_42,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_43,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_44,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_45,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_46,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_47,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_48,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_49,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39x_50,haven_labelled,Roster to check the consent for interview boys 15-17,TRUE,0,1,
hh39,haven_labelled,Consent for interview boys 15-17,TRUE,3,0.9536492820474667,"1, 1, 1, 2, 1"
hh44,haven_labelled,Consent for Water Quality Testing,TRUE,2,0.8807008407112566,"1, 1, 1, 1, 1"
hh47,numeric,Respondent to HH questionnaire,FALSE,12,0.054423034000446395,"1, 3, 1, 1, 2"
hh48,numeric,Number of HH members,FALSE,18,0.054423034000446395,"4, 7, 3, 10, 5"
hh49,numeric,Number of women 15-49 years,FALSE,7,0.054423034000446395,"1, 1, 1, 2, 1"
hh50,numeric,Number of men 15-49 years [If household is selected for Questionnaire for Men],FALSE,7,0.054423034000446395,"2, 0, 0, 4, 0"
hh50a,numeric,Number of men 15 - 49 years in interviewed households,FALSE,8,0.054423034000446395,"2, 1, 0, 4, 1"
hh51,numeric,Number of children under age 5,FALSE,6,0.054423034000446395,"1, 1, 1, 1, 0"
hh52,numeric,Number of children age 5-17,FALSE,12,0.054423034000446395,"1, 3, 1, 5, 1"
hh53,numeric,Number of woman' questionnaires completed,FALSE,7,0.054423034000446395,"0, 1, 1, 2, 1"
hh54,numeric,Number of man' questionnaires completed [If household is selected for Questionnaire for Men],FALSE,7,0.054423034000446395,"1, 0, 0, 4, 0"
hh55,numeric,Number of under - 5 questionnaires completed,FALSE,6,0.054423034000446395,"0, 1, 1, 1, 0"
hh56,numeric,Number of CF questionnaires completed (age 5-17),FALSE,2,0.054423034000446395,"1, 1, 1, 1, 1"
introhl,haven_labelled,Introduction HH Listing,TRUE,2,0,"1, 1, 1, 1, "
hhaux,haven_labelled,Other household members,TRUE,1,0.054423034000446395,"2, 2, 2, 2, 2"
hhwq,haven_labelled,Water Quality prompt,TRUE,2,0,", , , 1, "
hhfin,haven_labelled,Finish,TRUE,1,0.054423034000446395,"3, 3, 3, 3, 3"
hc1a,haven_labelled,Religion of household head,TRUE,8,0.054423034000446395,"1, 1, 1, 1, 1"
hc1b,haven_labelled,Language of household head,TRUE,10,0.054423034000446395,"96, 96, 2, 96, 96"
hc2,haven_labelled,Ethnic group of household head,TRUE,10,0.054423034000446395,"96, 96, 2, 96, 96"
hc3,haven_labelled,Number of rooms used for sleeping,TRUE,22,0.054423034000446395,"2, 4, 1, 5, 3"
hc4,haven_labelled,Main material of floor,TRUE,11,0.054423034000446395,"11, 11, 11, 11, 11"
hc5,haven_labelled,Main material of roof,TRUE,13,0.054423034000446395,"31, 12, 12, 31, 12"
hc6,haven_labelled,Main material of exterior wall,TRUE,16,0.054423034000446395,"33, 33, 33, 33, 33"
hc7a,haven_labelled,Household have: Fixed telephone line,TRUE,3,0.054423034000446395,"2, 2, 2, 2, 2"
hc7b,haven_labelled,Household have: Radio,TRUE,3,0.054423034000446395,"2, 2, 2, 1, 2"
hc7c,haven_labelled,Household: Bed,TRUE,3,0.054423034000446395,"1, 1, 2, 1, 2"
hc7d,haven_labelled,Household have: Sofa,TRUE,3,0.054423034000446395,"2, 2, 2, 2, 2"
hc7e,haven_labelled,Household have: Chair,TRUE,3,0.054423034000446395,"1, 1, 2, 2, 2"
hc7f,haven_labelled,Household have: A water storage tank,TRUE,3,0.054423034000446395,"2, 2, 2, 2, 2"
hc7g,haven_labelled,Household have: Watch,TRUE,3,0.054423034000446395,"2, 2, 2, 2, 2"
hc8,haven_labelled,Household have electricity,TRUE,4,0.054423034000446395,"3, 3, 3, 3, 3"
hc9a,haven_labelled,Household have: Television,TRUE,3,0.054423034000446395,"2, 2, 2, 2, 2"
