var_name,type,var_label,has_value_labels,n_unique,missing_share,example_values
hh1,numeric,Cluster number,FALSE,1111,0,"1, 1, 1, 1, 1"
hh2,numeric,Household number,FALSE,60,0,"1, 1, 1, 1, 2"
hl1,numeric,Line number,FALSE,18,0,"1, 2, 3, 4, 1"
hl3,haven_labelled,Relationship to the head,TRUE,16,0,"1, 2, 11, 3, 1"
hl4,haven_labelled,Sex,TRUE,2,0,"1, 2, 1, 2, 1"
hl5m,haven_labelled,Month of birth,TRUE,14,0,"4, 98, 9, 8, 98"
hl5y,haven_labelled,Year of birth,TRUE,109,0,"1995, 1996, 2004, 2018, 1963"
hl6,haven_labelled,Age,TRUE,96,0,"24, 24, 15, 1, 57"
hl7,haven_labelled,Member stayed in the household last night,TRUE,3,0,"1, 2, 2, 2, 1"
hl8,haven_labelled,Line number of woman age 15-49,TRUE,18,0,"0, 2, 0, 0, 0"
hl9,haven_labelled,Line number of man age 15-49,TRUE,16,0.6654444803910996,"1, 0, 3, 0, 1"
hl10,haven_labelled,Line number for children age 0-4,TRUE,18,0,"0, 0, 0, 4, 0"
hl11,haven_labelled,Member age 0-17,TRUE,2,0,"2, 2, 1, 1, 2"
hl12,haven_labelled,Is natural mother alive,TRUE,4,0.4830691254178799,"1, 1, 1, 1, 1"
hl13,haven_labelled,Does natural mother live in HH,TRUE,3,0.5000089866637909,"2, 1, 1, 1, 1"
hl14,haven_labelled,Natural mother's line number in HH,TRUE,16,0.5890039181854129,"2, 2, 2, 2, 2"
hl15,haven_labelled,Where does natural mother live,TRUE,6,0.911005068478378,"2, 2, 2, 1, 1"
hl16,haven_labelled,Is natural father alive,TRUE,4,0.4830691254178799,"1, 1, 1, 1, 1"
hl17,haven_labelled,Does natural father live in HH,TRUE,3,0.5275261511916316,"2, 1, 1, 1, 1"
hl18,haven_labelled,Natural father's line number in HH,TRUE,12,0.7175042237319817,"1, 1, 1, 1, 1"
hl19,haven_labelled,Where does natural father live,TRUE,6,0.8100219274596498,"2, 1, 1, 1, 1"
hl20,haven_labelled,Line number of mother or primary caretaker for children 0-17 years of age,TRUE,17,0.4830691254178799,"1, 2, 2, 2, 2"
ed1,numeric,Line number,FALSE,18,0,"1, 2, 3, 4, 1"
ed2a,numeric,Age,FALSE,96,0,"24, 24, 15, 1, 57"
ed3,haven_labelled,Age above 3,TRUE,2,0,"1, 1, 1, 2, 1"
ed4,haven_labelled,Ever attended school or any Early Childhood Education programme,TRUE,3,0.08628994572055071,"1, 1, 1, 1, 1"
