var_name,type,var_label,has_value_labels,n_unique,missing_share,example_values
hh1,numeric,Cluster number,FALSE,1111,0,"1, 1, 1, 1, 1"
hh2,numeric,Household number,FALSE,59,0,"1, 3, 3, 4, 4"
tnln,numeric,Net number,FALSE,10,0,"1, 1, 2, 1, 2"
tn3,haven_labelled,Mosquito net observed,TRUE,2,0,"1, 1, 1, 1, 1"
tn4,haven_labelled,Months ago net obtained,TRUE,40,2.4423602969910123e-5,"8, 10, 6, 2, 2"
tn5,haven_labelled,Brand/type of observed net,TRUE,11,0,"12, 15, 15, 12, 12"
tn10,haven_labelled,Way net was obtained,TRUE,6,0,"1, 2, 3, 1, 1"
tn12,haven_labelled,Place where net was obtained,TRUE,9,0.8990328253223916,"96, 4, 4, 1, 1"
tn13,haven_labelled,Persons slept under mosquito net last night,TRUE,4,0,"1, 2, 1, 1, 1"
tn15_1,haven_labelled,Person 1 who slept under net,TRUE,17,0.1732854630715123,"1, 1, 1, 4, 7"
tn15_2,haven_labelled,Person 2 who slept under net,TRUE,18,0.1732854630715123,"90, 2, 2, 5, 8"
tn15_3,haven_labelled,Person 3 who slept under net,TRUE,17,0.44057737397420865,"3, 90, 90, 6, 90"
tn15_4,haven_labelled,Person 4 who slept under net,TRUE,18,0.7616256350136772,"90, 9, 90, 90, 90"
tn1,haven_labelled,Household has mosquito nets,TRUE,1,0,"1, 1, 1, 1, 1"
tn2,numeric,Number of mosquito nets,FALSE,10,0,"1, 2, 2, 4, 4"
hh4,numeric,Supervisor number,FALSE,28,0,"10, 10, 10, 10, 10"
hh6,haven_labelled,Area,TRUE,2,0,"2, 2, 2, 2, 2"
hh7,haven_labelled,Region,TRUE,3,0,"1, 1, 1, 1, 1"
ethnicity,haven_labelled,Ethnicity of household head,TRUE,9,0,"96, 2, 2, 96, 96"
helevel,haven_labelled,Education of household head,TRUE,7,0,"2, 2, 2, 1, 1"
hhweight,numeric,Household sample weight,FALSE,1108,0,"0.432607122761421, 0.432607122761421, 0.432607122761421, 0.432607122761421, 0.432607122761421"
wscore,numeric,Combined wealth score,FALSE,20054,0,"-0.399029528309053, -0.655508854883502, -0.655508854883502, -0.0443600937698224, -0.0443600937698224"
windex5,haven_labelled,Wealth index quintile,TRUE,5,0,"3, 2, 2, 4, 4"
windex10,numeric,Wealth index deciles,FALSE,10,0,"5, 3, 3, 7, 7"
wscoreu,numeric,Urban wealth score,FALSE,2958,0.827447245017585,"-0.940258087131481, -0.940258087131481, -0.940258087131481, -0.940258087131481, -1.73263355850379"
windex5u,haven_labelled,Urban wealth index quintile,TRUE,5,0.827447245017585,"1, 1, 1, 1, 1"
windex10u,numeric,Urban wealth index deciles,FALSE,10,0.827447245017585,"2, 2, 2, 2, 1"
wscorer,numeric,Rural wealth score,FALSE,17096,0.172552754982415,"-0.245780579984451, -0.610097805232247, -0.610097805232247, 0.258011230440593, 0.258011230440593"
windex5r,haven_labelled,Rural wealth index quintile,TRUE,5,0.172552754982415,"3, 2, 2, 4, 4"
windex10r,numeric,Rural wealth index deciles,FALSE,10,0.172552754982415,"6, 3, 3, 8, 8"
psu,numeric,Primary sampling unit,FALSE,1111,0,"1, 1, 1, 1, 1"
stratum,haven_labelled,Sample stratum,TRUE,56,0,"1012, 1012, 1012, 1012, 1012"
