var_name,type,var_label,has_value_labels,n_unique,missing_share,example_values
hh1,numeric,Cluster number,FALSE,1111,0,"1, 1, 1, 1, 1"
hh2,numeric,Household number,FALSE,59,0,"1, 2, 3, 4, 4"
ln,numeric,Line number,FALSE,17,0,"2, 2, 1, 2, 10"
wm1,numeric,Cluster number,FALSE,1111,0,"1, 1, 1, 1, 1"
wm2,numeric,Household number,FALSE,59,0,"1, 2, 3, 4, 4"
wm3,numeric,Woman's line number,FALSE,17,0,"2, 2, 1, 2, 10"
wmint,numeric,Interviewer number,FALSE,123,0,"12, 14, 13, 14, 14"
wm4,numeric,Supervisor number,FALSE,28,0,"10, 10, 10, 10, 10"
wm5,numeric,Interviewer number,FALSE,123,0,"12, 14, 13, 14, 14"
wm6d,numeric,Day of interview,FALSE,31,0,"11, 11, 8, 8, 8"
wm6m,haven_labelled,Month of interview,TRUE,7,0,"2, 2, 2, 2, 2"
wm6y,numeric,Year of interview,FALSE,2,0,"2020, 2020, 2020, 2020, 2020"
wm8,haven_labelled,Respondent to another questionnaire,TRUE,2,0,"2, 1, 1, 2, 1"
wm9,haven_labelled,Consent,TRUE,2,0,"2, 1, 1, 1, 1"
wm17,haven_labelled,Result of woman's interview,TRUE,6,0,"2, 1, 1, 1, 1"
wm7h,numeric,Start of interview - Hour,FALSE,21,0.001560914696011863,"14, 15, 12, 14, 13"
wm7m,numeric,Start of interview - Minutes,FALSE,60,0.001560914696011863,"56, 1, 45, 18, 41"
wm10h,numeric,End of interview - Hour,FALSE,20,0.042261765394521186,"16, 13, 15, 14, 21"
wm10m,numeric,End of interview - Minutes,FALSE,60,0.042261765394521186,"5, 19, 8, 15, 20"
wm11,haven_labelled,Interview completed in private,TRUE,3,0.042261765394521186,"1, 1, 1, 1, 1"
wm12,haven_labelled,Language of the Questionnaire,TRUE,5,0.042261765394521186,"3, 3, 2, 3, 3"
wm13,haven_labelled,Language of the Interview,TRUE,6,0.042261765394521186,"3, 3, 2, 3, 3"
wm14,haven_labelled,Native language of the Respondent,TRUE,5,0.042261765394521186,"6, 3, 3, 3, 6"
wm15,haven_labelled,Translator used,TRUE,3,0.042261765394521186,"3, 3, 3, 3, 3"
wmhint,numeric,Household interviewer,FALSE,142,0.001560914696011863,"12, 14, 13, 11, 11"
wmfin,haven_labelled,Finish,TRUE,1,0.042261765394521186,"3, 3, 3, 3, 3"
wb3m,haven_labelled,Month of birth of woman,TRUE,14,0.042261765394521186,"12, 10, 10, 11, 6"
wb3y,haven_labelled,Year of birth of woman,TRUE,37,0.042261765394521186,"1970, 1991, 1975, 2001, 2000"
wb4,numeric,Age of woman,FALSE,35,0.042261765394521186,"49, 28, 44, 18, 19"
wb5,haven_labelled,Ever attended school,TRUE,3,0.042261765394521186,"1, 1, 1, 1, 1"
wb6a,haven_labelled,Highest level of school attended,TRUE,6,0.12034652306251463,"1, 2, 1, 1, 1"
wb6b,haven_labelled,Highest grade attended at that level,TRUE,9,0.12085382033871848,"4, 2, 7, 8, 5"
wb7,haven_labelled,Ever completed that grade/year,TRUE,2,0.12085382033871848,"1, 2, 1, 1, 2"
wb9,haven_labelled,Attended school during current school year,TRUE,3,0.602903301334582,"2, 2, 2, 2, 1"
wb10a,haven_labelled,Level of education attended current school year,TRUE,6,0.8480449543432451,"1, 3, 2, 3, 2"
wb10b,haven_labelled,Grade attended at that level during current school year,TRUE,10,0.8480449543432451,"8, 4, 2, 3, 2"
wb11,haven_labelled,Attended school previous school year,TRUE,2,0.602903301334582,"2, 1, 2, 2, 1"
wb12a,haven_labelled,Level of education attended previous school year,TRUE,5,0.8084757667993444,"1, 1, 3, 1, 2"
wb12b,haven_labelled,Grade attended at that level during previous school year,TRUE,8,0.8084757667993444,"5, 7, 3, 7, 1"
wb14,haven_labelled,Can read part of the sentence,TRUE,5,0.30804651525794113,"3, 3, 3, 3, 3"
wb15,haven_labelled,Duration of living in current place,TRUE,52,0.042261765394521186,"95, 19, 95, 95, 95"
wb16,haven_labelled,Place of living prior to moving to current place,TRUE,4,0.5975961913681417,"3, 2, 1, 3, 3"
wb17,haven_labelled,Region prior to moving to current place,TRUE,34,0.5975961913681417,"105, 101, 210, 101, 101"
wb18,haven_labelled,Covered by health insurance,TRUE,3,0.042261765394521186,"2, 2, 2, 2, 2"
wb19a,haven_labelled,Type of health insurance: Mutual health organization / Community-based health insurance,TRUE,3,0,", , , , "
wb19b,haven_labelled,Type of health insurance: Health insurance through employer,TRUE,3,0,", , , , "
wb19c,haven_labelled,Type of health insurance: Social security,TRUE,3,0,", , , , "
wb19d,haven_labelled,Type of health insurance: Other privately purchased commercial health insurance,TRUE,3,0,", , , , "
wb19x,haven_labelled,Type of health insurance: Other,TRUE,3,0,", , , , "
wb19nr,haven_labelled,Type of health insurance: No response,TRUE,2,0,", , , , "
mt1,haven_labelled,Frequency of reading newspaper or magazine,TRUE,5,0.042261765394521186,"1, 0, 0, 0, 0"
mt2,haven_labelled,Frequency of listening to the radio,TRUE,5,0.042261765394521186,"3, 1, 2, 0, 0"
mt3,haven_labelled,Frequency of watching TV,TRUE,5,0.042261765394521186,"3, 0, 0, 0, 0"
