outcome,dimension,min_mean,max_mean,gap
fls_all,region,0.5589626499362081,0.634329498946364,0.07536684901015589
fls_all,sex_cat,0.5494997457006385,0.6016149509294226,0.0521152052287841
fls_all,urban,0.5548934972958639,0.7047075933311705,0.1498140960353066
fls_all,wealth_q5,0.46137416694726097,0.7373073723780988,0.2759332054308379
fls_lit,region,0.5574556858666506,0.631477194015393,0.07402150814874242
fls_lit,sex_cat,0.537368923836586,0.6012928920180379,0.06392396818145196
fls_lit,urban,0.5461346927923985,0.7126634575936885,0.16652876480129009
fls_lit,wealth_q5,0.443185742333783,0.7445573783044754,0.30137163597069244
fls_num,region,0.5925572422916122,0.6747358318307123,0.08217858953910007
fls_num,sex_cat,0.5880650885462875,0.640841709336536,0.052776620790248474
fls_num,urban,0.5925360034165625,0.7492510745571436,0.15671507114058103
fls_num,wealth_q5,0.46690452271112975,0.7894513656705568,0.3225468429594271
